id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
372466,36,BlockedShot,0.885,0.549000015,0.023331812,Jamie Vardy,a,755,OpenPlay,2019,Head,12010,Tottenham,Leicester,3,0,19/07/20 15:00,Luke Thomas,Aerial
373836,40,MissedShots,0.911999969,0.53,0.111834556,Jamie Vardy,h,755,OpenPlay,2019,RightFoot,12018,Leicester,Manchester United,0,2,26/07/20 15:00,Luke Thomas,Cross
373842,59,ShotOnPost,0.876999969,0.655,0.013008391,Jamie Vardy,h,755,SetPiece,2019,Head,12018,Leicester,Manchester United,0,2,26/07/20 15:00,Youri Tielemans,Cross
373847,78,MissedShots,0.918000031,0.565999985,0.036016319,Jamie Vardy,h,755,OpenPlay,2019,Head,12018,Leicester,Manchester United,0,2,26/07/20 15:00,,Aerial
310211,30,SavedShot,0.899000015,0.645,0.147484258,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,LeftFoot,11650,Newcastle United,Arsenal,0,1,11/08/19 14:00,Henrikh Mkhitaryan,Throughball
310213,51,BlockedShot,0.935999985,0.696999969,0.048766941,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,LeftFoot,11650,Newcastle United,Arsenal,0,1,11/08/19 14:00,Granit Xhaka,Pass
310215,54,BlockedShot,0.86,0.372999992,0.077471301,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,RightFoot,11650,Newcastle United,Arsenal,0,1,11/08/19 14:00,Matteo Guendouzi,Pass
310216,57,Goal,0.905999985,0.562999992,0.43832925,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,RightFoot,11650,Newcastle United,Arsenal,0,1,11/08/19 14:00,Ainsley Maitland-Niles,Chipped
310422,50,MissedShots,0.805,0.615,0.036410581,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11653,Arsenal,Burnley,2,1,17/08/19 12:30,Nacho Monreal,Pass
310426,59,SavedShot,0.900999985,0.377000008,0.128107816,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11653,Arsenal,Burnley,2,1,17/08/19 12:30,Nicolas Pepe,Throughball
310429,63,Goal,0.821999969,0.612000008,0.050671823,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11653,Arsenal,Burnley,2,1,17/08/19 12:30,Dani Ceballos,BallRecovery
312700,10,MissedShots,0.790999985,0.302999992,0.018553277,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,RightFoot,11670,Liverpool,Arsenal,3,1,24/08/19 17:30,,None
